Id,Token,Label
0,"""01""",aucun
1,"""4.5.3""",aucun
2,""".""",aucun
3,"""Port""",geogFeat geogName
4,"""du""",geogName
5,"""Lavandou""",geogName name
6,"""07""",aucun
7,"""4.5.3""",aucun
8,""".""",aucun
9,"""—""",aucun
10,"""Port""",geogFeat geogName
11,"""du""",geogName
12,"""Lavandou""",geogName name
13,""",""",aucun
14,"""au""",aucun
15,"""NW""",aucun
16,"""(""",aucun
17,"""2020""",aucun
18,""")""",aucun
19,""".""",aucun
20,"""2103""",aucun
21,"""01""",aucun
22,"""3.7.2""",aucun
23,""".""",aucun
24,"""Port""",geogFeat geogName
25,"""de""",geogName
26,"""Kpémé""",geogName name
27,"""07""",aucun
28,"""Carte""",aucun
29,"""7587""",aucun
30,"""(""",aucun
31,"""INT""",aucun
32,"""2881""",aucun
33,""")""",aucun
34,""".""",aucun
35,"""13""",aucun
36,"""ENC""",aucun
37,"""FR57587C.""",aucun
38,"""01""",aucun
39,"""4.5.5.1""",aucun
40,""".""",aucun
41,"""Généralités""",aucun
42,"""07""",aucun
43,"""Le""",aucun
44,"""port""",geogFeat geogName
45,"""de""",geogFeat geogName
46,"""plaisance""",geogFeat geogName
47,"""de""",geogName
48,"""Cavalaire""",geogName name
49,"""se""",aucun
50,"""trouve""",aucun
51,"""à""",aucun
52,"""l’""",aucun
53,"""extrémité""",aucun
54,"""Ouest""",aucun
55,"""de""",aucun
56,"""la""",aucun
57,"""baie""",geogFeat geogName
58,"""de""",geogName
59,"""Cavalaire""",geogName name
60,""".""",aucun
61,"""01""",aucun
62,"""3.2.3.2""",aucun
63,""".""",aucun
64,"""Grande""",geogName name
65,"""Passe""",geogFeat geogName
66,"""07""",aucun
67,"""La""",aucun
68,"""Grande""",geogName name
69,"""Passe""",geogFeat geogName
70,"""(""",aucun
71,"""9""",aucun
72,"""°""",aucun
73,"""45,90""",aucun
74,"""'""",aucun
75,"""S""",aucun
76,"""—""",aucun
77,"""47""",aucun
78,"""°""",aucun
79,"""37,48""",aucun
80,"""'""",aucun
81,"""E""",aucun
82,""")""",aucun
83,"""s’""",aucun
84,"""ouvre""",aucun
85,"""entre""",aucun
86,"""le""",aucun
87,"""récif""",geogFeat
88,"""qui""",aucun
89,"""porte""",aucun
90,"""l’""",aucun
91,"""îlot""",geogFeat geogName
92,"""Pagode""",geogName name
93,"""(""",aucun
94,"""9""",aucun
95,"""°""",aucun
96,"""45,75""",aucun
97,"""'""",aucun
98,"""S""",aucun
99,"""—""",aucun
100,"""47""",aucun
101,"""°""",aucun
102,"""36,40""",aucun
103,"""'""",aucun
104,"""E""",aucun
105,""")""",aucun
106,"""à""",aucun
107,"""l’""",aucun
108,"""Ouest""",aucun
109,"""et""",aucun
110,"""le""",aucun
111,"""récif""",geogFeat
112,"""qui""",aucun
113,"""porte""",aucun
114,"""la""",aucun
115,"""Grande""",geogName name
116,"""Île""",geogFeat geogName
117,""",""",aucun
118,"""à""",aucun
119,"""l’""",aucun
120,"""Est""",aucun
121,""".""",aucun
122,"""Les""",aucun
123,"""limites""",aucun
124,"""de""",aucun
125,"""la""",aucun
126,"""passe""",aucun
127,"""sont""",aucun
128,"""mal""",aucun
129,"""définies""",aucun
130,"""car""",aucun
131,"""191""",aucun
132,"""ÎLES""",geogFeat
133,"""ET""",aucun
134,"""DANGERS""",geogFeat
135,"""AU""",aucun
136,"""NORD-OUEST""",aucun
137,"""ET""",aucun
138,"""À""",aucun
139,"""L’""",aucun
140,"""OUEST""",aucun
141,"""DE""",aucun
142,"""MADAGASCAR""",geogName name
143,"""ces""",aucun
144,"""deux""",aucun
145,"""récifs""",geogFeat
146,"""ne""",aucun
147,"""sont""",aucun
148,"""pas""",aucun
149,"""accores""",aucun
150,""".""",aucun
151,"""L’""",aucun
152,"""eau""",aucun
153,"""est""",aucun
154,"""très""",aucun
155,"""claire""",aucun
156,"""et""",aucun
157,"""le""",aucun
158,"""fond""",aucun
159,"""apparaît""",aucun
160,"""aussi""",aucun
161,"""distinctement""",aucun
162,"""par""",aucun
163,"""9""",aucun
164,"""m""",aucun
165,"""de""",aucun
166,"""profondeur""",aucun
167,"""que""",aucun
168,"""par""",aucun
169,"""des""",aucun
170,"""fonds""",aucun
171,"""de""",aucun
172,"""4""",aucun
173,"""m.""",aucun
174,"""13""",aucun
175,"""Le""",aucun
176,"""chenal""",geogFeat
177,"""a""",aucun
178,"""une""",aucun
179,"""profondeur""",aucun
180,"""minimale""",aucun
181,"""de""",aucun
182,"""5,0""",aucun
183,"""m""",aucun
184,"""dans""",aucun
185,"""sa""",aucun
186,"""partie""",aucun
187,"""centrale""",aucun
188,""",""",aucun
189,"""de""",aucun
190,"""2,1""",aucun
191,"""m""",aucun
192,"""dans""",aucun
193,"""sa""",aucun
194,"""partie""",aucun
195,"""Est""",aucun
196,"""et""",aucun
197,"""2,7""",aucun
198,"""m""",aucun
199,"""dans""",aucun
200,"""le""",aucun
201,"""Nord""",aucun
202,""".""",aucun
203,"""Sa""",aucun
204,"""largeur""",aucun
205,"""minimale""",aucun
206,"""est""",aucun
207,"""de""",aucun
208,"""0,15""",aucun
209,"""M.""",aucun
210,"""19""",aucun
211,"""Dans""",aucun
212,"""la""",aucun
213,"""passe""",geogFeat
214,""",""",aucun
215,"""les""",aucun
216,"""courants""",aucun
217,"""de""",aucun
218,"""marée""",aucun
219,"""sont""",aucun
220,"""forts""",aucun
221,"""et""",aucun
222,"""le""",aucun
223,"""courant""",aucun
224,"""sortant""",aucun
225,"""atteint""",aucun
226,"""4""",aucun
227,"""nœuds""",aucun
228,"""en""",aucun
229,"""vive""",aucun
230,"""-""",aucun
231,"""eau""",aucun
232,""".""",aucun
233,"""25""",aucun
234,"""Pendant""",aucun
235,"""la""",aucun
236,"""période""",aucun
237,"""des""",aucun
238,"""alizés""",aucun
239,"""de""",aucun
240,"""SE""",aucun
241,""",""",aucun
242,"""la""",aucun
243,"""Grande""",geogName name
244,"""Passe""",geogFeat geogName
245,"""est""",aucun
246,"""directement""",aucun
247,"""exposée""",aucun
248,"""à""",aucun
249,"""la""",aucun
250,"""houle""",aucun
251,"""et""",aucun
252,"""au""",aucun
253,"""vent""",aucun
254,""".""",aucun
255,"""La""",aucun
256,"""mer""",aucun
257,"""est""",aucun
258,"""alors""",aucun
259,"""très""",aucun
260,"""mouvementée""",aucun
261,"""à""",aucun
262,"""l’""",aucun
263,"""ouvert""",geogFeat
264,"""de""",aucun
265,"""la""",aucun
266,"""passe""",geogFeat
267,""".""",aucun
268,"""En""",aucun
269,"""arrière""",aucun
270,"""de""",aucun
271,"""la""",aucun
272,"""ligne""",geogFeat
273,"""de""",aucun
274,"""brisants""",geogFeat
275,""",""",aucun
276,"""le""",aucun
277,"""plan""",geogFeat
278,"""d’""",geogFeat
279,"""eau""",geogFeat
280,"""est""",aucun
281,"""calme""",aucun
282,""".""",aucun
283,"""Avec""",aucun
284,"""une""",aucun
285,"""bonne""",aucun
286,"""connaissance""",aucun
287,"""des""",aucun
288,"""lieux""",aucun
289,""",""",aucun
290,"""elle""",aucun
291,"""est""",aucun
292,"""praticable""",aucun
293,"""pour""",aucun
294,"""des""",aucun
295,"""petits""",aucun
296,"""navires""",aucun
297,""".""",aucun
298,"""31""",aucun
299,"""Le""",aucun
300,"""chenal""",geogFeat
301,"""principal""",geogFeat
302,"""est""",aucun
303,"""orienté""",aucun
304,"""vers""",aucun
305,"""le""",aucun
306,"""Nord""",aucun
307,""",""",aucun
308,"""sur""",aucun
309,"""une""",aucun
310,"""distance""",aucun
311,"""d’""",aucun
312,"""environ""",aucun
313,"""1,5""",aucun
314,"""M""",aucun
315,""",""",aucun
316,"""entre""",aucun
317,"""deux""",aucun
